Day, animals, grass, averageEnergy, avgLifeTime, avgChildren 
1,5,2,5,0,0,
2,5,4,4,0,0,
3,5,5,4,0,0,
4,5,7,3,0,0,
5,5,9,2,0,0,
6,5,10,2,0,0,
Avg,5,6,3,0,0,
