Day: 95, animals: 1, grass: 80, averageEnergy: 209, avgLifeTime: 18
Day: 96, animals: 1, grass: 80, averageEnergy: 216, avgLifeTime: 18
Day: 97, animals: 1, grass: 80, averageEnergy: 215, avgLifeTime: 18
Day: 98, animals: 1, grass: 80, averageEnergy: 214, avgLifeTime: 18
Day: 99, animals: 1, grass: 80, averageEnergy: 213, avgLifeTime: 18
Day: 100, animals: 1, grass: 80, averageEnergy: 220, avgLifeTime: 18
Day: 101, animals: 1, grass: 80, averageEnergy: 227, avgLifeTime: 18
Day: 102, animals: 1, grass: 80, averageEnergy: 226, avgLifeTime: 18
Day: 103, animals: 1, grass: 80, averageEnergy: 225, avgLifeTime: 18
Day: 104, animals: 1, grass: 80, averageEnergy: 232, avgLifeTime: 18
Day: 105, animals: 1, grass: 80, averageEnergy: 231, avgLifeTime: 18
Day: 106, animals: 1, grass: 80, averageEnergy: 238, avgLifeTime: 18
Day: 107, animals: 1, grass: 80, averageEnergy: 237, avgLifeTime: 18
Day: 108, animals: 1, grass: 80, averageEnergy: 236, avgLifeTime: 18
Day: 109, animals: 1, grass: 80, averageEnergy: 243, avgLifeTime: 18
Day: 110, animals: 1, grass: 80, averageEnergy: 242, avgLifeTime: 18
Day: 111, animals: 1, grass: 80, averageEnergy: 241, avgLifeTime: 18
Day: 112, animals: 1, grass: 80, averageEnergy: 240, avgLifeTime: 18
Day: 113, animals: 1, grass: 80, averageEnergy: 247, avgLifeTime: 18
Day: 114, animals: 1, grass: 80, averageEnergy: 254, avgLifeTime: 18
Day: 115, animals: 1, grass: 80, averageEnergy: 253, avgLifeTime: 18
Day: 116, animals: 1, grass: 80, averageEnergy: 260, avgLifeTime: 18
Day: 117, animals: 1, grass: 80, averageEnergy: 259, avgLifeTime: 18
Day: 118, animals: 1, grass: 80, averageEnergy: 266, avgLifeTime: 18
Day: 119, animals: 1, grass: 80, averageEnergy: 273, avgLifeTime: 18
Day: 120, animals: 1, grass: 80, averageEnergy: 272, avgLifeTime: 18
Day: 121, animals: 1, grass: 80, averageEnergy: 271, avgLifeTime: 18
Day: 122, animals: 1, grass: 80, averageEnergy: 278, avgLifeTime: 18
Day: 123, animals: 1, grass: 80, averageEnergy: 277, avgLifeTime: 18
Day: 124, animals: 1, grass: 80, averageEnergy: 276, avgLifeTime: 18
Day: 125, animals: 1, grass: 80, averageEnergy: 283, avgLifeTime: 18
Day: 126, animals: 1, grass: 80, averageEnergy: 290, avgLifeTime: 18
Day: 127, animals: 1, grass: 80, averageEnergy: 297, avgLifeTime: 18
Day: 128, animals: 1, grass: 80, averageEnergy: 304, avgLifeTime: 18
Day: 129, animals: 1, grass: 80, averageEnergy: 311, avgLifeTime: 18
Day: 130, animals: 1, grass: 80, averageEnergy: 318, avgLifeTime: 18
Day: 131, animals: 1, grass: 80, averageEnergy: 325, avgLifeTime: 18
Day: 132, animals: 1, grass: 80, averageEnergy: 332, avgLifeTime: 18
Day: 133, animals: 1, grass: 80, averageEnergy: 339, avgLifeTime: 18
Day: 134, animals: 1, grass: 80, averageEnergy: 338, avgLifeTime: 18
Day: 135, animals: 1, grass: 80, averageEnergy: 345, avgLifeTime: 18
Day: 136, animals: 1, grass: 80, averageEnergy: 352, avgLifeTime: 18
Day: 137, animals: 1, grass: 80, averageEnergy: 359, avgLifeTime: 18
Day: 138, animals: 1, grass: 80, averageEnergy: 366, avgLifeTime: 18
Day: 139, animals: 1, grass: 80, averageEnergy: 373, avgLifeTime: 18
Day: 140, animals: 1, grass: 80, averageEnergy: 372, avgLifeTime: 18
Day: 141, animals: 1, grass: 80, averageEnergy: 371, avgLifeTime: 18
Day: 142, animals: 1, grass: 80, averageEnergy: 378, avgLifeTime: 18
Day: 143, animals: 1, grass: 80, averageEnergy: 385, avgLifeTime: 18
Day: 144, animals: 1, grass: 80, averageEnergy: 384, avgLifeTime: 18
Day: 145, animals: 1, grass: 80, averageEnergy: 391, avgLifeTime: 18
Day: 146, animals: 1, grass: 80, averageEnergy: 398, avgLifeTime: 18
Day: 147, animals: 1, grass: 80, averageEnergy: 405, avgLifeTime: 18
Day: 148, animals: 1, grass: 80, averageEnergy: 412, avgLifeTime: 18
Day: 149, animals: 1, grass: 80, averageEnergy: 419, avgLifeTime: 18
Day: 150, animals: 1, grass: 80, averageEnergy: 426, avgLifeTime: 18
Day: 151, animals: 1, grass: 80, averageEnergy: 433, avgLifeTime: 18
Day: 152, animals: 1, grass: 80, averageEnergy: 432, avgLifeTime: 18
Day: 153, animals: 1, grass: 80, averageEnergy: 431, avgLifeTime: 18
Day: 154, animals: 1, grass: 80, averageEnergy: 438, avgLifeTime: 18
Day: 155, animals: 1, grass: 80, averageEnergy: 437, avgLifeTime: 18
Day: 156, animals: 1, grass: 80, averageEnergy: 444, avgLifeTime: 18
Day: 157, animals: 1, grass: 80, averageEnergy: 451, avgLifeTime: 18
Day: 158, animals: 1, grass: 80, averageEnergy: 458, avgLifeTime: 18
Day: 159, animals: 1, grass: 80, averageEnergy: 465, avgLifeTime: 18
Day: 160, animals: 1, grass: 80, averageEnergy: 472, avgLifeTime: 18
Day: 161, animals: 1, grass: 80, averageEnergy: 479, avgLifeTime: 18
Day: 162, animals: 1, grass: 80, averageEnergy: 478, avgLifeTime: 18
Day: 163, animals: 1, grass: 80, averageEnergy: 485, avgLifeTime: 18
Day: 164, animals: 1, grass: 80, averageEnergy: 492, avgLifeTime: 18
Day: 165, animals: 1, grass: 80, averageEnergy: 499, avgLifeTime: 18
Day: 166, animals: 1, grass: 80, averageEnergy: 506, avgLifeTime: 18
Day: 167, animals: 1, grass: 80, averageEnergy: 505, avgLifeTime: 18
Day: 168, animals: 1, grass: 80, averageEnergy: 504, avgLifeTime: 18
Day: 169, animals: 1, grass: 80, averageEnergy: 511, avgLifeTime: 18
Day: 170, animals: 1, grass: 80, averageEnergy: 518, avgLifeTime: 18
Day: 171, animals: 1, grass: 80, averageEnergy: 517, avgLifeTime: 18
Day: 172, animals: 1, grass: 80, averageEnergy: 524, avgLifeTime: 18
Day: 173, animals: 1, grass: 80, averageEnergy: 523, avgLifeTime: 18
Day: 174, animals: 1, grass: 80, averageEnergy: 530, avgLifeTime: 18
Day: 175, animals: 1, grass: 80, averageEnergy: 537, avgLifeTime: 18
Day: 176, animals: 1, grass: 80, averageEnergy: 536, avgLifeTime: 18
Day: 177, animals: 1, grass: 80, averageEnergy: 535, avgLifeTime: 18
Day: 178, animals: 1, grass: 80, averageEnergy: 542, avgLifeTime: 18
Day: 179, animals: 1, grass: 80, averageEnergy: 549, avgLifeTime: 18
Day: 180, animals: 1, grass: 80, averageEnergy: 548, avgLifeTime: 18
Day: 181, animals: 1, grass: 80, averageEnergy: 555, avgLifeTime: 18
Day: 182, animals: 1, grass: 80, averageEnergy: 562, avgLifeTime: 18
Day: 183, animals: 1, grass: 80, averageEnergy: 561, avgLifeTime: 18
Day: 184, animals: 1, grass: 80, averageEnergy: 568, avgLifeTime: 18
Day: 185, animals: 1, grass: 80, averageEnergy: 575, avgLifeTime: 18
Day: 186, animals: 1, grass: 80, averageEnergy: 574, avgLifeTime: 18
Day: 187, animals: 1, grass: 80, averageEnergy: 581, avgLifeTime: 18
Day: 188, animals: 1, grass: 80, averageEnergy: 588, avgLifeTime: 18
Day: 189, animals: 1, grass: 80, averageEnergy: 587, avgLifeTime: 18
Day: 190, animals: 1, grass: 80, averageEnergy: 586, avgLifeTime: 18
Day: 191, animals: 1, grass: 80, averageEnergy: 593, avgLifeTime: 18
Day: 192, animals: 1, grass: 80, averageEnergy: 600, avgLifeTime: 18
Day: 193, animals: 1, grass: 80, averageEnergy: 607, avgLifeTime: 18
Day: 194, animals: 1, grass: 80, averageEnergy: 606, avgLifeTime: 18
Day: 195, animals: 1, grass: 80, averageEnergy: 613, avgLifeTime: 18
Day: 196, animals: 1, grass: 80, averageEnergy: 612, avgLifeTime: 18
Day: 197, animals: 1, grass: 80, averageEnergy: 619, avgLifeTime: 18
Day: 198, animals: 1, grass: 80, averageEnergy: 626, avgLifeTime: 18
Day: 199, animals: 1, grass: 80, averageEnergy: 633, avgLifeTime: 18
Day: 200, animals: 1, grass: 80, averageEnergy: 640, avgLifeTime: 18
